sku_channel,sku,channel,units_2024_01,units_2024_02,units_2024_03,units_2024_04,units_2024_05,units_2024_06,units_2024_07,units_2024_08,units_2024_09,units_2024_10,units_2024_11,units_2024_12,units_2025_01,units_2025_02,units_2025_03,units_2025_04,units_2025_05,units_2025_06,units_2025_07,units_2025_08,units_2025_09,units_2025_10,units_2025_11,units_2025_12,units_2026_01,units_2026_02,units_2026_03,units_2026_04,units_2026_05,units_2026_06,units_2026_07,units_2026_08,units_2026_09,units_2026_10,units_2026_11,units_2026_12,revenue_2024_01,revenue_2024_02,revenue_2024_03,revenue_2024_04,revenue_2024_05,revenue_2024_06,revenue_2024_07,revenue_2024_08,revenue_2024_09,revenue_2024_10,revenue_2024_11,revenue_2024_12,revenue_2025_01,revenue_2025_02,revenue_2025_03,revenue_2025_04,revenue_2025_05,revenue_2025_06,revenue_2025_07,revenue_2025_08,revenue_2025_09,revenue_2025_10,revenue_2025_11,revenue_2025_12,revenue_2026_01,revenue_2026_02,revenue_2026_03,revenue_2026_04,revenue_2026_05,revenue_2026_06,revenue_2026_07,revenue_2026_08,revenue_2026_09,revenue_2026_10,revenue_2026_11,revenue_2026_12
DOGTWL-CAB-MD-RAINB - DTC,DOGTWL-CAB-MD-RAINB,DTC,5,8,6,5,11,8,10,0,0,1,1,0,0,0,0,0,0,0,0,0,10,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,87.46,134.41,112.67,95.41,199.16,155.5,189.58,0,0,16.67,15,0,0,0,0,0,0,0,0,0,188.41,79.32,252.91,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGTWL-CAB-MD-RAINB - FBA,DOGTWL-CAB-MD-RAINB,FBA,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.17,44.82,0,22.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGTWL-DES-LG-BONES - B2B,DOGTWL-DES-LG-BONES,B2B,2,0,1,3,22,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.89,0,12.08,24.16,173.09,0,24.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGTWL-DES-LG-BONES - DTC,DOGTWL-DES-LG-BONES,DTC,104,100,39,15,26,17,27,0,0,1,0,0,0,0,0,0,0,0,0,0,12,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1402.06,1363.49,735.26,287.09,481.93,305.61,516.94,0,0,17.4,0,0,0,0,0,0,0,0,0,0,245.16,79.44,21.75,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGTWL-DES-LG-BONES - FBA,DOGTWL-DES-LG-BONES,FBA,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGTWL-DES-LG-CHKMTT - B2B,DOGTWL-DES-LG-CHKMTT,B2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,1,6,27,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.16,75,0,75,311.05,1875,0,0,0,0,0,0,0,0,0
DOGTWL-DES-LG-CHKMTT - DTC,DOGTWL-DES-LG-CHKMTT,DTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,37,59,48,22,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.16,785.77,1299.86,980.3,529.55,181.24,21.25,0,0,0,0,0,0,0,0
DOGTWL-DES-LG-CHKMTT - FBA,DOGTWL-DES-LG-CHKMTT,FBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9,1,0,3,5,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.99,74.97,224.91,24.99,0,74.97,122.45,103.21,64.97,23.74,0,0,0,0,0
DOGTWL-DES-LG-DNBCLUB - B2B,DOGTWL-DES-LG-DNBCLUB,B2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,1,0,53,24,37,13,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.22,162.08,0,0,659.09,300,450,163.29,0,66.67,0,0,0,0,0
DOGTWL-DES-LG-DNBCLUB - DTC,DOGTWL-DES-LG-DNBCLUB,DTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26,53,36,13,10,8,13,22,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.33,565.14,1203.93,695.69,333.31,250.83,189.58,304.57,493.91,310.02,0,0,0,0,0
DOGTWL-DES-LG-DNBCLUB - FBA,DOGTWL-DES-LG-DNBCLUB,FBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,8,2,4,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.99,0,122.45,194.92,49.98,99.96,0,147.44,247.39,0,0,0,0,0,0
DOGTWL-DES-LG-DOGDIN - B2B,DOGTWL-DES-LG-DOGDIN,B2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,6,45,18,6,12,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,75,553.62,225,75,150,71.25,66.67,0,0,0,0,0
